active_backlog,branch_issue_deadline,btech_ctc,btech_home,cgpa,company_name,exam_date,idd_imd_ctc,idd_imd_home,interview_date,mtech_ctc,mtech_home,phd_ctc,phd_home,ppt_date,profile,status,total_backlog,updated_at,willingness_deadline,x_percent,xii_percent,che,mec,bme,phe,phy,bce,ece,eee,min,cse,met,mst,civ,cer,mat,chy,btech,idd,mtech,phd
0.0,2017-09-06 13:00:00,,,7.5,Thornton Tomasetti,,"5,75,000","5,75,000",,"5,75,000","5,75,000",,,,Engineer,Willingness Closed,0.0,2017-09-05 23:05:00,2017-09-08 10:00:00,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0
0.0,2017-09-06 12:00:00,"16,60,000",,7.0,Texas Intruments,,"18,80,000",,,"18,80,000",,,,,Analog Engineer,Under Branch Issue,0.0,2017-09-05 23:03:00,,0.0,0.0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0
0.0,2017-08-19 10:00:00,"20,35,847","12,00,000",7.5,ADOBE,,"20,35,847","12,00,000",,,,,,,Member of Technical Staff,Under Branch Issue,0.0,2017-09-05 20:53:00,,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0
0.0,2017-08-26 13:00:00,"12,00,000",,7.0,Telstra,2017-09-08 00:00:00,"12,00,000",,,,,,,2017-09-08 00:00:00,,Willingness Sent,0.0,2017-09-05 11:35:00,2017-08-28 10:00:00,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0
0.0,,"12,00,000","10,50,000",7.5,Elastic Run,2017-09-04 00:00:00,"12,00,000","10,50,000",,,,,,,Software Engineer,Willingness Sent,0.0,2017-09-03 17:53:00,2017-08-31 10:00:00,0.0,0.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
0.0,2017-07-11 23:00:00,"11,56,874",,7.0,Indus Valley Partners,2017-09-04 00:00:00,,,,,,,,2017-09-03 00:00:00,,Willingness Sent,0.0,2017-09-03 17:52:00,2017-08-19 10:00:00,0.0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
0.0,2017-08-09 13:00:00,9 Lakhs,9 Lakhs,7.0,WIPRO,,9 Lakhs,9 Lakhs,,,,,,2017-10-05 00:00:00,,Under Branch Issue,0.0,2017-09-03 17:51:00,,60.0,60.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
0.0,2017-07-24 23:00:00,"1,075,645 + plus other benefits","10,00,000 (Base)",0.0,Riverbed,2017-09-09 00:00:00,"1,075,645 + plus other benefits","10,00,000 (Base)",,,,,,,Member of Technical Staff,Willingness Closed,0.0,2017-09-01 14:03:00,2017-09-01 14:15:00,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0
0.0,2017-08-30 13:00:00,1367722,,7.0,Mentor Graphics,,1575252,,,1575252,,,,,Member of Technical Staff,Willingness Closed,0.0,2017-09-01 11:33:00,2017-09-01 12:00:00,70.0,70.0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,1,0,1,1,1,0
0.0,2017-07-11 23:00:00,"16,17,000",,7.5,Morgan Stanley,,"16,75,000",,,"16,75,000",,,,2017-08-05 00:00:00,Technology Analyst,Willingness Sent,0.0,2017-08-31 17:59:00,2017-08-04 16:00:00,0.0,0.0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,1,1,0
0.0,2017-07-12 23:00:00,"21,07,700","11,50,000",7.0,Walmarts Labs,2017-08-28 00:00:00,"21,77,600","12,00,000",,"21,77,600","12,00,000",,,2017-08-28 00:00:00,Software Engineer,Willingness Sent,0.0,2017-08-31 17:55:00,2017-08-16 10:00:00,0.0,0.0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
0.0,,640000,,6.5,Maruti,2017-08-26 00:00:00,,,,,,,,,GET,Willingness Sent,0.0,2017-08-31 17:53:00,2017-08-19 21:00:00,65.0,65.0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
0.0,,Yet to Decide,,0.0,Indian Air Force,,Yet to Decide,,,Yet to Decide,,,,2017-08-22 00:00:00,,Process Completed,0.0,2017-08-31 17:53:00,2017-08-19 10:00:00,0.0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
0.0,2017-07-11 23:00:00,"14,00,000","12,00,000",7.0,Dailyhunt,,"14,00,000","12,00,000",,,,,,,Associate Software Engineer,Willingness Sent,0.0,2017-08-31 17:48:00,2017-08-23 10:00:00,70.0,70.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
0.0,2017-07-20 23:00:00,"23,00,000",,7.0,MyKaarma,2017-08-26 00:00:00,"23,00,000",,,,,,,2017-08-26 00:00:00,Software Development Engineer,Willingness Sent,0.0,2017-08-31 17:47:00,2017-08-17 10:00:00,0.0,0.0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,1,0,0
0.0,2017-08-12 17:00:00,"7,18,800",,6.0,Optum,2017-08-31 00:00:00,,,,,,,,2017-08-31 00:00:00,Business Analyst,Willingness Sent,0.0,2017-08-31 17:46:00,2017-08-19 10:00:00,0.0,0.0,1,1,0,0,0,0,1,1,1,1,1,0,1,1,0,0,1,0,0,0
